,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Pleasanton,US,2020-02-20 04:22:04,37.66,-121.87,55.4,53,90,6.93,overcast clouds,0,0
1,New Norfolk,AU,2020-02-20 04:25:10,-42.78,147.06,68.0,42,75,18.34,broken clouds,0,0
2,Castro,BR,2020-02-20 04:25:10,-24.79,-50.01,66.65,97,94,2.51,light rain,0.94,0
3,Hilo,US,2020-02-20 04:25:10,19.73,-155.09,73.4,73,75,8.05,broken clouds,0,0
4,Cape Town,ZA,2020-02-20 04:20:21,-33.93,18.42,69.01,100,75,17.22,broken clouds,0,0
5,Mar Del Plata,AR,2020-02-20 04:25:11,-38.0,-57.56,61.0,76,67,4.7,moderate rain,0,0
6,Mahibadhoo,MV,2020-02-20 04:25:11,3.78,72.97,81.66,74,0,17.83,clear sky,0,0
7,Barrow,US,2020-02-20 04:25:11,71.29,-156.79,-2.2,77,90,6.93,light snow,0,0
8,Carballo,ES,2020-02-20 04:25:12,43.21,-8.69,46.0,100,20,6.93,few clouds,0,0
9,Bethel,US,2020-02-20 04:25:12,41.37,-73.41,34.0,50,1,6.93,clear sky,0,0
10,Kodiak,US,2020-02-20 04:25:12,57.79,-152.41,33.8,86,90,20.8,light rain,0,0
11,Rikitea,PF,2020-02-20 04:25:12,-23.12,-134.97,78.62,79,21,13.11,few clouds,0,0
12,Mataura,NZ,2020-02-20 04:25:12,-46.19,168.86,73.15,58,91,7.96,overcast clouds,0,0
13,Vagay,RU,2020-02-20 04:21:06,57.94,69.02,32.2,98,100,6.17,light snow,0,1.19
14,Te Anau,NZ,2020-02-20 04:25:13,-45.42,167.72,61.57,71,92,1.21,overcast clouds,0,0
15,Buckeye,US,2020-02-20 04:25:13,33.37,-112.58,66.2,47,1,6.93,clear sky,0,0
16,Busselton,AU,2020-02-20 04:25:13,-33.65,115.33,91.99,17,0,12.97,clear sky,0,0
17,Matagami,CA,2020-02-20 04:25:14,49.75,-77.63,-14.8,83,1,5.82,clear sky,0,0
18,Atuona,PF,2020-02-20 04:25:14,-9.8,-139.03,81.99,79,27,17.56,light rain,0.13,0
19,Padang,ID,2020-02-20 04:25:14,-0.95,100.35,79.05,61,43,7.72,scattered clouds,0,0
20,Butaritari,KI,2020-02-20 04:25:15,3.07,172.79,82.9,81,100,14.63,light rain,1.38,0
21,Monte Escobedo,MX,2020-02-20 04:25:15,22.3,-103.58,62.91,45,0,4.99,clear sky,0,0
22,Nikolskoye,RU,2020-02-20 04:25:15,59.7,30.79,36.0,93,90,4.47,overcast clouds,0,0
23,Hithadhoo,MV,2020-02-20 04:25:15,-0.6,73.08,83.34,78,55,16.64,light rain,0.75,0
24,Chicama,PE,2020-02-20 04:25:16,-7.84,-79.15,71.6,88,75,9.17,mist,0,0
25,Amherst,US,2020-02-20 04:25:16,41.4,-82.22,28.99,68,1,4.7,clear sky,0,0
26,Kayes,ML,2020-02-20 04:25:16,14.0,-11.0,75.2,33,0,2.24,clear sky,0,0
27,Coahuayana,MX,2020-02-20 04:25:16,18.73,-103.68,71.73,69,0,4.07,clear sky,0,0
28,Gombong,ID,2020-02-20 04:23:17,-7.61,109.51,85.05,67,95,6.33,overcast clouds,0,0
29,Waingapu,ID,2020-02-20 04:25:17,-9.66,120.26,83.3,77,100,14.88,overcast clouds,0,0
30,Fortuna,US,2020-02-20 04:25:17,40.6,-124.16,45.0,93,1,0.89,clear sky,0,0
31,Port Alfred,ZA,2020-02-20 04:25:17,-33.59,26.89,71.01,93,35,6.78,light rain,0.13,0
32,Sao Filipe,CV,2020-02-20 04:25:18,14.9,-24.5,72.28,61,56,21.0,broken clouds,0,0
33,Agadez,NE,2020-02-20 04:25:18,19.75,10.25,56.95,27,0,9.48,clear sky,0,0
34,Georgetown,MY,2020-02-20 04:25:18,5.41,100.34,89.6,52,20,8.05,few clouds,0,0
35,Sobolevo,RU,2020-02-20 04:25:18,54.43,31.9,34.81,89,100,7.78,overcast clouds,0,0
36,Cidreira,BR,2020-02-20 04:25:18,-30.18,-50.21,75.31,78,0,13.18,clear sky,0,0
37,Yumen,CN,2020-02-20 04:25:19,40.28,97.2,25.52,44,100,22.06,overcast clouds,0,0
38,Ushuaia,AR,2020-02-20 04:22:44,-54.8,-68.3,46.4,93,90,24.16,drizzle,0,0
39,Faanui,PF,2020-02-20 04:25:19,-16.48,-151.75,82.81,76,100,18.1,moderate rain,3.06,0
40,Liverpool,GB,2020-02-20 04:25:20,53.41,-2.98,50.0,93,75,12.75,broken clouds,0,0
41,San Carlos De Bariloche,AR,2020-02-20 04:24:24,-41.15,-71.31,44.6,48,0,5.82,clear sky,0,0
42,Bredasdorp,ZA,2020-02-20 04:25:20,-34.53,20.04,69.8,94,58,8.05,broken clouds,0,0
43,Iqaluit,CA,2020-02-20 04:25:21,63.75,-68.51,-31.0,59,40,2.24,scattered clouds,0,0
44,Kapaa,US,2020-02-20 04:25:21,22.08,-159.32,78.8,73,75,23.04,broken clouds,0,0
45,Auki,SB,2020-02-20 04:25:21,-8.77,160.7,84.24,78,100,20.58,light rain,1.13,0
46,Camocim,BR,2020-02-20 04:25:21,-2.9,-40.84,73.99,96,100,3.33,moderate rain,3.06,0
47,Norman Wells,CA,2020-02-20 04:25:21,65.28,-126.83,10.4,72,75,4.7,broken clouds,0,0
48,Torbay,CA,2020-02-20 04:25:22,47.67,-52.73,30.99,79,40,32.21,scattered clouds,0,0
49,Pangnirtung,CA,2020-02-20 04:25:22,66.15,-65.71,-32.1,87,3,1.01,clear sky,0,0
50,Marsaxlokk,MT,2020-02-20 04:25:22,35.84,14.54,55.0,81,75,14.99,broken clouds,0,0
51,Sibolga,ID,2020-02-20 04:25:22,1.74,98.78,84.22,59,11,3.6,few clouds,0,0
52,Hermanus,ZA,2020-02-20 04:25:22,-34.42,19.23,66.0,93,71,7.0,light rain,0.25,0
53,Mayskiy,RU,2020-02-20 04:25:23,47.69,40.1,35.6,93,75,8.95,mist,0,0
54,Punta Arenas,CL,2020-02-20 04:24:26,-53.15,-70.92,46.4,68,75,14.99,broken clouds,0,0
55,Sao Sebastiao,BR,2020-02-20 04:25:23,-23.76,-45.41,80.85,81,63,3.18,broken clouds,0,0
