,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
6,Mahibadhoo,MV,2020-02-20 04:25:11,3.78,72.97,81.66,74,0,17.83,clear sky,0.0,0.0
11,Rikitea,PF,2020-02-20 04:25:12,-23.12,-134.97,78.62,79,21,13.11,few clouds,0.0,0.0
16,Busselton,AU,2020-02-20 04:25:13,-33.65,115.33,91.99,17,0,12.97,clear sky,0.0,0.0
19,Padang,ID,2020-02-20 04:25:14,-0.95,100.35,79.05,61,43,7.72,scattered clouds,0.0,0.0
26,Kayes,ML,2020-02-20 04:25:16,14.0,-11.0,75.2,33,0,2.24,clear sky,0.0,0.0
28,Gombong,ID,2020-02-20 04:23:17,-7.61,109.51,85.05,67,95,6.33,overcast clouds,0.0,0.0
29,Waingapu,ID,2020-02-20 04:25:17,-9.66,120.26,83.3,77,100,14.88,overcast clouds,0.0,0.0
34,Georgetown,MY,2020-02-20 04:25:18,5.41,100.34,89.6,52,20,8.05,few clouds,0.0,0.0
36,Cidreira,BR,2020-02-20 04:25:18,-30.18,-50.21,75.31,78,0,13.18,clear sky,0.0,0.0
44,Kapaa,US,2020-02-20 04:25:21,22.08,-159.32,78.8,73,75,23.04,broken clouds,0.0,0.0
51,Sibolga,ID,2020-02-20 04:25:22,1.74,98.78,84.22,59,11,3.6,few clouds,0.0,0.0
55,Sao Sebastiao,BR,2020-02-20 04:25:23,-23.76,-45.41,80.85,81,63,3.18,broken clouds,0.0,0.0
58,Mahebourg,MU,2020-02-20 04:25:24,-20.41,57.7,80.6,69,40,8.05,scattered clouds,0.0,0.0
59,Hambantota,LK,2020-02-20 04:25:24,6.12,81.12,84.2,74,20,13.87,few clouds,0.0,0.0
69,Inhambane,MZ,2020-02-20 04:25:26,-23.86,35.38,75.2,94,20,9.66,few clouds,0.0,0.0
70,Foz Do Iguacu,BR,2020-02-20 04:25:27,-25.55,-54.59,82.4,94,92,2.24,overcast clouds,0.0,0.0
72,Saint-Joseph,RE,2020-02-20 04:25:27,-21.37,55.62,81.0,65,0,10.29,clear sky,0.0,0.0
76,Acapulco,MX,2020-02-20 04:25:05,16.86,-99.89,80.6,74,5,6.93,clear sky,0.0,0.0
