City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2020-02-17 21:15:24,-23.12,-134.97,78.78,79,100,13.71
1,Yellowknife,CA,2020-02-17 21:12:44,62.46,-114.35,-13.0,61,5,10.29
2,Calamar,CO,2020-02-17 21:15:24,10.25,-74.91,89.6,59,90,14.99
3,Katsuura,JP,2020-02-17 21:15:24,35.13,140.3,44.01,65,20,5.82
4,Korla,CN,2020-02-17 21:15:25,41.76,86.15,26.01,88,72,3.67
5,Albany,US,2020-02-17 21:13:26,42.6,-73.97,37.4,43,1,12.75
6,Tasiilaq,GL,2020-02-17 21:15:25,65.61,-37.64,30.2,58,100,21.92
7,Chuy,UY,2020-02-17 21:15:25,-33.7,-53.46,82.08,66,100,9.64
8,Craig,US,2020-02-17 21:11:59,40.52,-107.55,33.8,46,75,8.05
9,Rio Gallegos,AR,2020-02-17 21:12:44,-51.62,-69.22,64.4,18,100,19.46
10,Pangnirtung,CA,2020-02-17 21:15:26,66.15,-65.71,-22.0,67,40,2.8
11,Carnarvon,AU,2020-02-17 21:10:27,-24.87,113.63,77.0,88,31,9.17
12,Beyneu,KZ,2020-02-17 21:15:27,45.32,55.2,30.7,66,0,8.39
13,Pout,SN,2020-02-17 21:15:27,14.77,-17.06,82.4,42,97,11.41
14,Vaini,TO,2020-02-17 21:13:43,-21.2,-175.2,78.8,78,20,13.87
15,Cherskiy,RU,2020-02-17 21:15:27,68.75,161.3,-19.43,96,100,6.22
16,Ushuaia,AR,2020-02-17 21:13:42,-54.8,-68.3,53.6,66,75,18.34
17,Bereda,ES,2020-02-17 21:15:28,43.27,-7.54,46.99,87,20,3.36
18,Cape Town,ZA,2020-02-17 21:15:28,-33.93,18.42,69.01,64,20,16.11
19,Hays,US,2020-02-17 21:15:29,30.05,-98.03,81.0,69,90,9.17
20,Pontes E Lacerda,BR,2020-02-17 21:15:29,-15.23,-59.34,88.81,67,100,2.64
21,Sredniy Ikorets,RU,2020-02-17 21:15:29,51.07,39.76,30.52,81,100,15.88
22,Mackay,AU,2020-02-17 21:15:29,-21.15,149.2,79.0,94,40,6.93
23,Mangai,CD,2020-02-17 21:15:30,-4.05,19.53,73.47,93,100,0.49
24,Mataura,NZ,2020-02-17 21:15:30,-46.19,168.86,57.0,98,100,0.34
25,Jiangyou,CN,2020-02-17 21:15:30,31.77,104.72,30.63,63,1,2.01
26,Lompoc,US,2020-02-17 21:13:49,34.64,-120.46,71.6,59,1,20.8
27,Aksarka,RU,2020-02-17 21:15:30,66.56,67.8,14.14,90,100,24.36
28,Kapaa,US,2020-02-17 21:15:31,22.08,-159.32,75.2,69,90,3.36
29,Bluff,NZ,2020-02-17 21:13:43,-46.6,168.33,57.0,98,100,0.45
